"Handle","Title","Body (HTML)","Vendor","Standard Product Type","Custom Product Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"futbolka-oversayz","Футболка оверсайз","🩷Футболка, яка відчувається як свобода.

Малинова oversize футболка від BRIGHT LOOK — це про легкість, якість і настрій, який видно. Яскрава, жива, але благородна. Та, яку одягаєш — і образ вже готовий.

Тканина преміум складу:
95% бавовна + 5% еластан.
М'яка, дихаюча, приємна до тіла. Вона тримає форму, не перекручується і красиво лягає по силуету навіть після багатьох прань.

Оверсайз крій додає сучасності:
вільно, легко, без зусиль.
Створює розслаблений силует і той самий effortless стиль, який виглядає дорого без перевантаження.

BRIGHT LOOK — коли прості речі виглядають по-особливому.","BRIGHT LOOK","Футболка","","BRIGHT LOOK, Футболка, Oversize","TRUE","Колір","Рожева","","","","","","0","shopify","100","deny","manual","1100","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7493.jpg?v=1774539889","1","Футболка оверсайз рожева 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7493.jpg?v=1774539889","g","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7494.jpg?v=1774539889","2","Футболка оверсайз рожева 2","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7495.jpg?v=1774539889","3","Футболка оверсайз рожева 3","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7496.jpg?v=1774539889","4","Футболка оверсайз рожева 4","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","Колір","Червона","","","","","","0","shopify","100","deny","manual","1100","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7502.jpg?v=1774539889","5","Футболка оверсайз червона 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7502.jpg?v=1774539889","g","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7499.jpg?v=1774539889","6","Футболка оверсайз червона 2","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7500.jpg?v=1774539889","7","Футболка оверсайз червона 3","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7501.jpg?v=1774539889","8","Футболка оверсайз червона 4","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","Колір","Біла","","","","","","0","shopify","100","deny","manual","1100","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7513.jpg?v=1774539889","9","Футболка оверсайз біла 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7513.jpg?v=1774539889","g","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7515.jpg?v=1774539889","10","Футболка оверсайз біла 2","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7519.jpg?v=1774539889","11","Футболка оверсайз біла 3","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7521.jpg?v=1774539889","12","Футболка оверсайз біла 4","FALSE","","","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","Колір","Чорна","","","","","","0","shopify","100","deny","manual","1100","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7510.jpg?v=1774539889","13","Футболка оверсайз чорна 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7510.jpg?v=1774539889","g","","","active"
"futbolka-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7507.jpg?v=1774539888","14","Футболка оверсайз чорна 2","FALSE","","","","","active"
"svitshot-oversayz","Світшот оверсайз","Малиновий світшот із трьохнитки від BRIGHT LOOK — це баланс ніжності, стилю і якості, який відчувається з першого дотику. Легкий, але щільний. М'який, але структурний.

Тканина — полірована преміальна трьохнитка.
Гладенька, ніжна до тіла, з делікатною матовою поверхнею. Вона красиво тримає форму, не кошлатиться і зберігає свій вигляд навіть після активного носіння.

Без начосу — тому ідеальний на будь-який сезон.
Дихає, не перегріває і залишається комфортним протягом усього дня.

BRIGHT LOOK — коли ніжність має форму.","BRIGHT LOOK","Світшот","","BRIGHT LOOK, Світшот, Oversize","TRUE","Колір","Рожевий","","","","","","0","shopify","100","deny","manual","1600","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7426.jpg?v=1774539708","1","Світшот оверсайз рожевий 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7426.jpg?v=1774539708","g","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7427.jpg?v=1774539708","2","Світшот оверсайз рожевий 2","FALSE","","","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7434.jpg?v=1774539708","3","Світшот оверсайз рожевий 3","FALSE","","","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7423.jpg?v=1774539708","4","Світшот оверсайз рожевий 4","FALSE","","","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","Колір","Червоний","","","","","","0","shopify","100","deny","manual","1600","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7438.jpg?v=1774539708","5","Світшот оверсайз червоний 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7438.jpg?v=1774539708","g","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7439.jpg?v=1774539708","6","Світшот оверсайз червоний 2","FALSE","","","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7440.jpg?v=1774539708","7","Світшот оверсайз червоний 3","FALSE","","","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","Колір","Чорний","","","","","","0","shopify","100","deny","manual","1600","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7450.jpg?v=1774539708","8","Світшот оверсайз чорний 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7450.jpg?v=1774539708","g","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7451.jpg?v=1774539708","9","Світшот оверсайз чорний 2","FALSE","","","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7446_1.jpg?v=1774539708","10","Світшот оверсайз чорний 3","FALSE","","","","","active"
"svitshot-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7449.jpg?v=1774539708","11","Світшот оверсайз чорний 4","FALSE","","","","","active"
